user_parameters.immune_apoptosis_rate,user_parameters.immune_migration_bias,user_parameters.immune_kill_rate,user_parameters.immune_attachment_lifetime,user_parameters.immune_attachment_rate,user_parameters.oncoprotein_threshold
0.000178705,0.6,0.87625,50,0.38125,0.55
0.000178705,0.6,0.87625,80,0.2575,0.55
0.000178705,0.6,0.87625,80,0.38125,0.2125
0.000178705,0.7,0.13375,80,0.505,0.1
0.000178705,0.7,0.13375,90,0.13375,0.1
0.000178705,0.7,0.13375,90,0.505,0.325
0.000178705,0.7,0.2575,50,0.87625,0.55
0.000178705,0.7,0.2575,70,0.38125,0.55
0.000178705,0.7,0.505,90,0.7525,0.2125
0.000178705,0.7,0.62875,10,0.38125,0.1
0.000178705,0.7,0.7525,10,0.38125,0.1
0.000178705,0.7,0.7525,50,0.505,0.55
0.000178705,0.7,0.87625,80,0.38125,0.6625
0.000178705,0.8,0.13375,10,0.7525,0.2125
0.000178705,0.8,0.2575,20,0.505,0.1
0.000178705,0.8,0.505,80,0.2575,0.2125
0.000178705,0.8,0.62875,50,0.62875,0.6625
0.000178705,0.8,0.62875,90,0.2575,0.4375
0.000178705,0.8,0.87625,60,0.38125,0.55
0.000178705,0.8,1,20,0.2575,0.55
0.000178705,0.9,0.13375,10,0.505,0.4375
0.000178705,0.9,0.13375,40,0.38125,0.55
0.000178705,0.9,0.2575,50,0.7525,0.55
0.000178705,0.9,0.2575,80,0.38125,0.325
0.000178705,0.9,0.2575,90,0.13375,0.2125
0.000178705,0.9,0.38125,80,0.505,0.6625
0.000178705,0.9,0.505,10,0.2575,0.1
0.000178705,0.9,0.7525,50,1,0.6625
0.000178705,0.9,1,30,1,0.55
0.0002645875,0.5,0.38125,30,1,0.1
0.0002645875,0.5,0.38125,40,0.87625,0.325
0.0002645875,0.5,0.505,80,0.505,0.2125
0.0002645875,0.5,0.62875,40,0.505,0.2125
0.0002645875,0.5,0.7525,70,0.38125,0.1
0.0002645875,0.5,0.87625,70,0.7525,0.325
0.0002645875,0.5,1,60,1,0.1
0.0002645875,0.6,0.13375,40,0.87625,0.4375
